sourceid-year-oa,source_id,journal_name,parent_publisher,pub_year,oa_status,oecd_major,n_dois,apc_lower,apc_total
532_2016_hybrid,532,Advanced Energy Materials,Wiley,2016,hybrid,ENGINEERING AND TECHNOLOGY,3.2,5000,16000
16231_2018_hybrid,16231,Lancet Respiratory Medicine,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,3,5000,15000
16224_2015_hybrid,16224,Lancet Haematology,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,3,5000,15000
4430_2015_hybrid,4430,Cell Stem Cell,Elsevier,2015,hybrid,NATURAL SCIENCES,3,5000,15000
16222_2016_hybrid,16222,LANCET GASTROENTEROLOGY & HEPATOLOGY,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,3,5000,15000
4422_2015_hybrid,4422,Cell Metabolism,Elsevier,2015,hybrid,NATURAL SCIENCES,3,5000,15000
16220_2017_hybrid,16220,LANCET CHILD & ADOLESCENT HEALTH,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,3,5000,15000
16225_2015_hybrid,16225,Lancet HIV,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,3,5000,15000
4434_2015_hybrid,4434,Cell Systems,Elsevier,2015,hybrid,NATURAL SCIENCES,3,5000,15000
4422_2015_hybrid,4422,Cell Metabolism,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,3,5000,15000
4430_2015_hybrid,4430,Cell Stem Cell,Elsevier,2015,hybrid,ENGINEERING AND TECHNOLOGY,3,5000,15000
10716_2015_hybrid,10716,Immunity,Elsevier,2015,hybrid,NATURAL SCIENCES,2,5000,10000
16222_2017_hybrid,16222,LANCET GASTROENTEROLOGY & HEPATOLOGY,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,2,5000,10000
16224_2017_hybrid,16224,Lancet Haematology,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,2,5000,10000
